title,genre,lead_actor,year,tag
Living in Bondage,"Drama, Thriller","Kenneth Okonkwo, Kanayo O. Kanayo",2026,supernatural thriller
Circle of Doom,Drama,"Richard Mofe-Damijo, Kanayo O. Kanayo",1993,crime drama
Glamour Girls,Drama,"Eucharia Anunobi, Liz Benson",1994,cult classic drama
Nneka the Pretty Serpent,"Horror, Drama","Ndidi Obi, Okechukwu Ogunjiofor",1994,supernatural horror
Rattlesnake,"Action, Crime","Francis Duru, Nkem Owoh",1995,action crime story
Domitilla,Drama,"Sandra Achums, Anne Njemanze",1996,urban drama
Violated,"Romance, Drama","Richard Mofe-Damijo, Ego Boyo",1996,romantic drama
Outkast,"Drama, Thriller","Sandra Achums, Lilian Bach",2001,gritty thriller
Hostages,"Action, Thriller","Richard Mofe-Damijo, Tope Idowu",1997,action suspense
Diamond Ring,"Horror, Thriller","Richard Mofe-Damijo, Teju Babyface",1998,supernatural thriller
Karishika,Horror,"Becky Ngozi Okolo, Bob-Manuel Udokwu",1998,iconic horror
Saworoide,Drama,"Kola Oyewo, Bukky Wright",1999,political drama
Igodo,"Adventure, Fantasy","Sam Dede, Charles Okafor",1999,epic adventure
End of the Wicked,Horror,"Charles Okafor, Hilda Dokubo",1999,religious horror
Issakaba,"Action, Crime","Sam Dede, Chiwetalu Agu",2000,vigilante action
Agogo Eewo,Drama,"Kola Oyewo, Deji Aderemi",2002,political folklore
Aki na Ukwa,Comedy,"Chinedu Ikedieze, Osita Iheme",2002,slapstick comedy
Osuofia in London,Comedy,"Nkem Owoh, Mara Derwent",2003,fish-out-of-water comedy
Blood Sister,Drama,"Genevieve Nnaji, Omotola Jalade-Ekeinde",2003,intense family drama
Dangerous Twins,"Drama, Thriller","Ramsey Nouah, Stella Damasus",2004,psychological drama
The Mayors,Drama,"Richard Mofe-Damijo, Sam Dede",2004,crime drama
Games Men Play,"Romance, Drama","Kate Henshaw, Ramsey Nouah",2006,relationship drama
The Figurine,"Thriller, Supernatural","Ramsey Nouah, Kunle Afolayan",2009,mystery thriller
Ije: The Journey,Drama,"Genevieve Nnaji, Omotola Jalade-Ekeinde",2010,courtroom drama
Anchor Baby,"Drama, Thriller","Omoni Oboli, Sam Sarpong",2010,suspense drama
Maami,Drama,"Funke Akindele, Wole Ojo",2011,emotional drama
Tango With Me,"Romance, Drama","Genevieve Nnaji, Joseph Benjamin",2011,romantic drama
Phone Swap,"Comedy, Romance","Wale Ojo, Nse Ikpe-Etim",2012,romantic comedy
Last Flight to Abuja,"Action, Thriller","Omotola Jalade-Ekeinde, Hakeem Kae-Kazim",2012,disaster thriller
The Meeting,"Comedy, Romance","Rita Dominic, Femi Jacobs",2012,romantic comedy
Half of a Yellow Sun,"Drama, History","Chiwetel Ejiofor, Thandiwe Newton",2013,historical epic
Confusion Na Wa,"Comedy, Drama","Ramsey Nouah, Ali Nuhu",2013,dark comedy
October 1,"Thriller, Mystery","Sadiq Daba, Kayode Olaiya",2014,period mystery
Invasion 1897,"History, Drama","Mike Omoregbe, Segun Arinze",2014,historical drama
Dry,Drama,"Stephanie Linus, Liz Benson",2014,social justice drama
The Wedding Party,"Comedy, Romance","Adesua Etomi, Banky Wellington",2016,romantic comedy
Oloibiri,"Action, Thriller","Richard Mofe-Damijo, Olu Jacobs",2016,action drama
76,"Drama, History","Ramsey Nouah, Rita Dominic",2016,political drama
Isoken,"Romance, Comedy","Dakore Akande, Joseph Benjamin",2017,romantic comedy
The King Boys,"Crime, Drama","Sola Sobowale, Adesua Etomi",2018,political crime drama
God Calling,Drama,"Zainab Balogun, Karibi Fubara",2018,faith-based drama
Lionheart,Drama,"Genevieve Nnaji, Nkem Owoh",2018,family drama
Chief Daddy,Comedy,"Taiwo Obileye, Joke Silva",2018,family comedy
The Delivery Boy,Thriller,"Jammal Ibrahim, Jemima Osunde",2018,gritty thriller
Living in Bondage: Breaking Free,"Thriller, Horror","Swanky JKA, Ramsey Nouah",2019,supernatural thriller
The Bling Lagosians,Drama,"Elvina Ibru, Gbenga Titiloye",2019,high-society drama
Oloture,"Crime, Drama","Sharon Ooja, Omoni Oboli",2019,investigative drama
Sugar Rush,"Comedy, Action","Adesua Etomi, Bisola Aiyeola",2019,action comedy
Citation,Drama,"Temi Otedola, Jimmy Jean-Louis",2020,social drama
Omo Ghetto: The Saga,"Comedy, Action","Funke Akindele, Chioma Akpotha",2020,action comedy
Eyimofe,Drama,"Jude Akuwudike, Temi Ami-Williams",2020,anthology drama
The Milkmaid,Drama,"Anthonieta Kalunta, Gambo Usman Kona",2020,political drama
Ayinla,"Musical, Drama","Lateef Adedimeji, Bimbo Ademoye",2021,musical biopic
Juju Stories,"Horror, Fantasy","Timini Egbuson, Paul Utomi",2021,anthology horror
Amina,"History, Action","Lucy Ameh, Ali Nuhu",2021,historical epic
Anikulapo,"Fantasy, Drama","Kunle Remi, Bimbo Ademoye",2022,mystical folklore
Brotherhood,"Action, Crime","Tobi Bakre, Falz",2022,heist thriller
King of Thieves,"Fantasy, Action","Femi Adebayo, Odunlade Adekola",2022,epic folklore
The Blood Covenant,Thriller,"Tobi Bakre, Shawn Faqua",2022,crime thriller
Glamour Girls (Remake),"Drama, Thriller","Sharon Ooja, Nse Ikpe-Etim",2022,crime thriller
Elesin Oba: The King's Horseman,"Drama, History","Odunlade Adekola, Shaffy Bello",2022,historical tragedy
Battle on Buka Street,"Comedy, Drama","Funke Akindele, Mercy Johnson",2022,family comedy
Gangs of Lagos,"Action, Crime","Tobi Bakre, Adesua Etomi",2023,gritty crime thriller
The Black Book,"Thriller, Action","Richard Mofe-Damijo, Ade Laoye",2023,revenge thriller
Jagun Jagun,"Action, Fantasy","Femi Adebayo, Lateef Adedimeji",2023,warrior epic
Mami Wata,"Fantasy, Drama","Evelyne Ily Juhen, Rita Edochie",2023,art-house folklore
Breath of Life,Drama,"Wale Ojo, Chimezie Imo",2023,inspirational drama
A Tribe Called Judah,"Comedy, Drama","Funke Akindele, Timini Egbuson",2023,heist comedy-drama
Blood Vessel,Thriller,"Dibonma Okujagu, Jide Kene Achufusi",2023,survival thriller
Afamefuna: An Nwa Boi Story,Drama,"Stan Nze, Kanayo O. Kanayo",2023,cultural drama
Over The Bridge,Drama,"Ozzy Agu, Segilola Ogidan",2023,psychological drama
Funmilayo Ransome-Kuti,"History, Bio","Joke Silva, Kehinde Bankole",2024,historical biopic
The Weekend,"Thriller, Horror","Ini Dima-Okojie, Bucci Franklin",2024,psychological horror
House of Ga'a,"History, Action","Femi Branch, Mike Afolarin",2024,historical tragedy
Ajosepo,"Comedy, Drama","Yemi Solade, Timini Egbuson",2024,wedding drama
Muri and Ko,"Comedy, Action","Kunle Remi, Bisola Aiyeola",2024,buddy comedy
Lakatabu,"Action, Fantasy","Odunlade Adekola, Femi Adebayo",2024,action epic
The Safe House,Thriller,"Tope Tedela, Sola Sobowale",2024,political thriller
Freedom Way,Drama,"Debo Adedayo, Meg Otanwa",2025,social drama
Lisabi: The Uprising,"History, Action","Lateef Adedimeji, Adebimpe Oyebade",2025,historical epic
Seven Doors,Drama,"Femi Adebayo, Chioma Chukwuka",2025,royal drama
Farmer's Bride,"Drama, Romance","Femi Jacobs, Mercy Aigbe",2025,period drama
The Man Died,"History, Bio","Wole Ojo, Sam Dede",2025,literary biopic
Thin Line,"Drama, Thriller","Timini Egbuson, Sophie Alakija",2024,romantic thriller
Onobiren,Drama,"Bimbo Ademoye, Lateef Adedimeji",2026,emotional drama
The Serpent's Gift,"Thriller, Fantasy","Linda Ejiofor, Gabriel Afolayan",2026,mystical thriller
To Kill a Monkey,"Action, Crime","Bucci Franklin, Bimbo Akintola",2026,crime thriller
